Ticks,Tics,TicDelta,Ax-1,Ay-1,Az-1,Ax,Ay,Az,Distance,DistanceDelta,Ax-avg,Ay-avg,Az-avg,DistanceDelta-avg,Ax-avgN,Ay-avgN,Az-avgN,A-mag,DistanceDelta-1
821972,0,200,0,0,0,-1.991697,-1.103785,0.4874237,0.964024,0.964024,-1.3221977,-0.58803414,0.42920636,0.414336,-1.3221977,-0.58803414,0.42920636,2.328686353,0
822172,200,200,-1.991697,-1.103785,0.4874237,-1.128205,-0.1387057,0.456166,1.24094,0.276916,-1.3221977,-0.58803414,0.42920636,0.414336,0,0,0,1.224815583,0.964024
822372,400,200,-1.128205,-0.1387057,0.456166,-1.622466,0.3223443,-0.407326,1.51785,0.27691,-1.3221977,-0.58803414,0.42920636,0.414336,0,0,0,1.703589223,0.276916
822572,600,200,-1.622466,0.3223443,-0.407326,-1.178999,-1.172161,0.9318682,1.79476,0.27691,-1.2969963,-0.56615382,0.38954824,0.2824512,0.0252014,0.02188032,-0.03965812,1.905879953,0.27691
822772,800,200,-1.178999,-1.172161,0.9318682,-0.6896215,-0.8478633,0.6778999,2.07168,0.27692,-1.3577533,-0.5884249,0.41846156,0.282778,-0.060757,-0.02227108,0.02891332,1.286078638,0.27691
822992,1020,220,-0.6896215,-0.8478633,0.6778999,-1.86569,-0.9943834,0.2891331,2.37628,0.3046,-1.3958487,-0.78652014,0.44014654,0.283386,-0.0380954,-0.19809524,0.02168498,2.133821799,0.27692
823192,1220,200,-1.86569,-0.9943834,0.2891331,-1.43199,-0.2500611,0.6007326,2.65483,0.27855,-1.31555562,-0.74744814,0.4309646,0.283714,0.08029308,0.039072,-0.00918194,1.57289719,0.3046
823393,1421,201,-1.43199,-0.2500611,0.6007326,-1.812943,-0.6681319,-0.2989011,2.93478,0.27995,-1.33782668,-0.82383388,0.51829062,0.28404,-0.02227106,-0.07638574,0.08732602,1.955122611,0.27855
823593,1621,200,-1.812943,-0.6681319,-0.2989011,-0.7775336,-0.976801,0.8859585,3.21333,0.27855,-1.29172168,-0.7931623,0.46007328,0.282728,0.046105,0.03067158,-0.05821734,1.530889009,0.27995
823793,1821,200,-0.7775336,-0.976801,0.8859585,-0.8009768,-1.229792,1.11453,3.49188,0.27855,-1.23897448,-0.77831492,0.43702078,0.282346,0.0527472,0.01484738,-0.0230525,1.842859007,0.27855
824007,2035,214,-0.8009768,-1.229792,1.11453,-1.635165,-0.8410255,-0.001953602,3.78992,0.29804,-1.27472528,-0.80429782,0.45772896,0.281684,-0.0357508,-0.0259829,0.02070818,1.83877467,0.27855
824207,2235,200,-1.635165,-0.8410255,-0.001953602,-1.168254,-0.1758242,0.4854701,4.06656,0.27664,-1.3050061,-0.81015862,0.41221004,0.28158,-0.03028082,-0.0058608,-0.04551892,1.277267699,0.29804
824407,2435,200,-1.168254,-0.1758242,0.4854701,-1.991697,-0.7980464,-0.1953602,4.3432,0.27664,-1.35775334,-0.85802202,0.38915752,0.281198,-0.05274724,-0.0478634,-0.02305252,2.154507044,0.27664
824608,2636,201,-1.991697,-0.7980464,-0.1953602,-0.9289377,-1.006105,0.6583639,4.62123,0.27803,-1.36869354,-0.7958975,0.384859596,0.282174,-0.0109402,0.06212452,-0.004297924,1.519412895,0.27664
824808,2836,200,-0.9289377,-1.006105,0.6583639,-1.064713,-1.469109,0.9992674,4.89787,0.27664,-1.33079364,-0.757411536,0.347350436,0.282558,0.0378999,0.038485964,-0.03750916,2.071335406,0.27803
825027,3055,219,-1.064713,-1.469109,0.9992674,-1.689866,-0.5304029,-0.02344322,5.20079,0.30292,-1.29699644,-0.762881636,0.421978036,0.283218,0.0337972,-0.0054701,0.0746276,1.77130571,0.27664
825227,3255,200,-1.689866,-0.5304029,-0.02344322,-0.9787545,0.01660562,0.2979243,5.47935,0.27856,-1.3630283,-0.707790056,0.442881576,0.283322,-0.06603186,0.05509158,0.02090354,1.023227739,0.30292
825428,3456,201,-0.9787545,0.01660562,0.2979243,-1.822711,-0.8253969,0.1777778,5.75929,0.27994,-1.29367544,-0.554822956,0.570842496,0.283984,0.06935286,0.1529671,0.12796092,2.008770863,0.27856
825628,3656,200,-1.822711,-0.8253969,0.1777778,-1.259097,-0.7306471,0.7628816,6.03784,0.27855,-1.23682564,-0.549352876,0.59936508,0.282732,0.0568498,0.00547008,0.028522584,1.643520239,0.27994
825829,3857,201,-1.259097,-0.7306471,0.7628816,-0.7179487,-0.7042735,1.639072,6.31779,0.27995,-1.21142884,-0.554236882,0.535873016,0.283006,0.0253968,-0.004884006,-0.063492064,1.923020676,0.27855
826042,4070,213,-0.7179487,-0.7042735,1.639072,-1.405617,-0.5030525,0.1191697,6.61445,0.29666,-1.22940184,-0.548376062,0.751746056,0.283004,-0.017973,0.00586082,0.21587304,1.497672323,0.27995
826242,4270,200,-1.405617,-0.5030525,0.1191697,-0.8517705,-0.007814408,-0.01953602,6.89438,0.27993,-1.21689864,-0.594871802,0.756434696,0.283282,0.0125032,-0.04649574,0.00468864,0.852030343,0.29666
826442,4470,200,-0.8517705,-0.007814408,-0.01953602,-1.912576,-0.7960928,1.257143,7.17431,0.27993,-1.25948714,-0.600732602,0.707203896,0.283278,-0.0425885,-0.0058608,-0.0492308,2.423245597,0.27993
826642,4670,200,-1.912576,-0.7960928,1.257143,-1.196581,-0.9631258,0.7863248,7.45425,0.27994,-1.27726494,-0.592136762,0.736507936,0.282172,-0.0177778,0.00859584,0.02930404,1.725608324,0.27993
826842,4870,200,-1.196581,-0.9631258,0.7863248,-0.9308912,-0.7335775,1.392918,7.73418,0.27993,-1.32942604,-0.55501832,0.82324786,0.282172,-0.0521611,0.037118442,0.086739924,1.828910859,0.27994
827050,5078,208,-0.9308912,-0.7335775,1.392918,-1.494506,-0.4600733,0.2656899,8.02531,0.29113,-1.20888884,-0.57982908,0.74412696,0.282172,0.1205372,-0.02481076,-0.0791209,1.586129487,0.27993
