Ticks,Tics,TicDelta,Latitude,Longitude,Satellites,Distance
821972,0,1000,41.15304,-73.42704,3,0.964023652
822992,1020,1020,41.15302,-73.42705,3,2.376280248
824006,2034,1014,41.15302,-73.42705,3,3.788536845
825027,3055,1021,41.15302,-73.42705,3,5.200793441
826041,4069,1014,41.15302,-73.42705,3,6.613050037
827050,5078,1009,41.15302,-73.42705,3,8.025306633
828059,6087,1009,41.15302,-73.42705,3,9.43756323
829069,7097,1010,41.15295,-73.42709,3,10.84981983
830082,8110,1013,41.15293,-73.42709,3,13.07371836
831103,9131,1021,41.15293,-73.42709,3,14.00034275
832117,10145,1014,41.15293,-73.42709,3,14.92696714
833134,11162,1017,41.15293,-73.42709,3,15.85359152
834150,12178,1016,41.15293,-73.42709,3,16.78021591
835164,13192,1014,41.15293,-73.42709,3,17.7068403
836179,14207,1015,41.15288,-73.42709,3,18.63346469
837201,15229,1022,41.15287,-73.4271,3,20.02537619
838225,16253,1024,41.15287,-73.4271,3,21.13732546
839244,17272,1019,41.15287,-73.4271,3,22.24927472
840262,18290,1018,41.15287,-73.4271,3,23.36122399
841277,19305,1015,41.15283,-73.4271,3,24.47317325
842315,20343,1038,41.15283,-73.4271,3,25.61961066
843335,21363,1020,41.15283,-73.4271,3,26.76604807
844351,22379,1016,41.15283,-73.4271,3,27.91248548
845372,23400,1021,41.15283,-73.4271,3,29.05892289
846386,24414,1014,41.15283,-73.4271,3,30.2053603
847401,25429,1015,41.15277,-73.42712,3,31.35179771
848427,26455,1026,41.15276,-73.42714,3,33.36186895
849452,27480,1025,41.15276,-73.42714,3,35.67271985
850472,28500,1020,41.15276,-73.42714,3,37.98357076
851487,29515,1015,41.15276,-73.42714,3,40.29442167
852503,30531,1016,41.15276,-73.42714,3,42.60527257
853510,31538,1007,41.15276,-73.42714,3,44.91612348
854524,32552,1014,41.15276,-73.42714,3,47.22697438
855539,33567,1015,41.15276,-73.42714,3,49.53782529
856555,34583,1016,41.1526,-73.4272,3,51.84867619
857570,35598,1015,41.1526,-73.4272,3,54.52260276
858589,36617,1019,41.1526,-73.4272,3,57.19652933
859609,37637,1020,41.1526,-73.4272,3,59.8704559
860625,38653,1016,41.1526,-73.4272,3,62.54438247
861641,39669,1016,41.15248,-73.42721,3,65.21830903
862660,40688,1019,41.15247,-73.42721,3,66.3302583
863678,41706,1018,41.15247,-73.42721,3,69.21277858
864688,42716,1010,41.15247,-73.42721,3,72.09529887
