Ticks,Ax,Ay,Az
821972,-1.991697,-1.103785,0.4874237
822172,-1.128205,-0.1387057,0.456166
822372,-1.622466,0.3223443,-0.407326
822572,-1.178999,-1.172161,0.9318682
822772,-0.6896215,-0.8478633,0.6778999
822992,-1.86569,-0.9943834,0.2891331
823192,-1.43199,-0.2500611,0.6007326
823393,-1.812943,-0.6681319,-0.2989011
823593,-0.7775336,-0.976801,0.8859585
823793,-0.8009768,-1.229792,1.11453
824007,-1.635165,-0.8410255,-0.001953602
824207,-1.168254,-0.1758242,0.4854701
824407,-1.991697,-0.7980464,-0.1953602
824608,-0.9289377,-1.006105,0.6583639
824808,-1.064713,-1.469109,0.9992674
825027,-1.689866,-0.5304029,-0.02344322
825227,-0.9787545,0.01660562,0.2979243
825428,-1.822711,-0.8253969,0.1777778
825628,-1.259097,-0.7306471,0.7628816
825829,-0.7179487,-0.7042735,1.639072
826042,-1.405617,-0.5030525,0.1191697
826242,-0.8517705,-0.007814408,-0.01953602
826442,-1.912576,-0.7960928,1.257143
826642,-1.196581,-0.9631258,0.7863248
826842,-0.9308912,-0.7335775,1.392918
827050,-1.494506,-0.4600733,0.2656899
827250,-1.112576,0.1777778,0.4141636
827450,-1.30989,-0.9201466,0.8615385
827651,-1.376313,-1.202442,0.6827839
827851,-1.064713,-1.097924,0.8185593
828060,-1.26105,-0.2500611,0.3916972
828260,-1.568742,0.9650793,0.2236874
828460,-1.192674,-0.5030525,0.8976801
828660,-1.073504,-0.9064713,0.3946276
828860,-1.847131,-0.9396826,0.7247863
829070,-1.23956,-0.2568987,0.5274725
829270,-1.642979,0.5899878,0.5870574
829471,-1.011966,-0.5665446,1.029548
829671,-1.023687,-1.144811,0.4971917
829871,-1.677167,-0.8517705,0.8420025
830083,-1.314774,0.1904762,-0.02051282
830283,-1.991697,-0.2627595,-0.2949939
830483,-0.7687424,-0.7267399,0.7443223
830683,-0.7736264,-1.412454,0.5909646
830883,-1.991697,-1.055922,0.2871795
831103,-1.112576,0.03223443,0.3516484
831304,-1.74652,-0.7003663,-0.6007326
831505,-1.127228,-0.9260074,0.7814408
831705,-0.9152625,-1.088156,1.225885
831905,-1.991697,-1.006105,-0.03321123
832118,-1.354823,0.1162393,0.3076923
832318,-1.955556,-0.574359,-0.3301587
832518,-1.202442,-1.055922,0.7540904
832718,-1.336264,-1.043224,1.427106
832918,-1.70061,-0.7648352,-0.08009768
833134,-1.347009,0.2490843,0.3672772
833334,-1.862759,-1.102808,1.970208
833534,-1.007082,-1.201465,0.8166056
833735,-0.9347986,-1.010989,1.237607
833935,-1.427106,-0.3956044,0.1689866
834150,-1.288401,0.6339438,-0.05177045
834351,-1.805128,-0.4600733,1.319658
834552,-1.260073,-1.047131,0.4698413
834752,-1.42906,-1.174115,0.9084249
834953,-1.350916,-0.392674,0.3350427
835164,-1.520879,1.089133,-0.4014652
835364,-0.9826618,-0.5724054,0.77558
835564,-0.9592186,-1.299145,0.947497
835765,-1.370452,-0.8253969,0.6310134
835966,-1.279609,-0.368254,0.2832723
836180,-1.238584,0.3789988,-0.5235653
836381,-0.8488401,-0.5714286,0.8830281
836581,-0.8341881,-1.489622,0.9826618
836781,-1.577534,-0.7912088,0.3995116
836981,-0.9836386,-0.07912088,0.4092796
837202,-1.629304,-0.7101343,-0.1992674
837403,-0.6573871,-0.6583639,0.6886447
837603,-1.198535,-1.632235,1.379243
837804,-1.592186,-0.981685,0.3838828
838005,-1.208303,0.3106227,0.1514042
838225,-1.494506,-0.8420025,0.2432235
838426,-1.131136,-0.6700855,0.6905983
838626,-0.9533578,-1.255189,1.211233
838826,-1.406593,-1.028571,0.2910867
839026,-1.11746,-0.2744811,0.3057387
839245,-1.40464,-0.6271062,-0.3174603
839445,-1.225885,-0.8918194,0.7921856
839645,-1.30696,-1.312821,1.156532
839846,-1.323565,-0.9445666,0.2715507
840047,-1.172161,-0.01855922,0.2568987
840262,-1.539438,-0.8312576,0.7218559
840462,-1.107692,-0.7365079,0.6886447
840662,-0.918193,-1.278633,1.543346
840863,-1.3558,-0.5616606,0.06153846
841063,-0.7980464,0.03321123,0.2383394
841278,-1.721123,-0.7579976,0.6349206
841479,-1.270818,-1.055922,0.7619048
841679,-0.7628816,-1.033455,1.424176
841879,-1.357753,-0.4796093,0.003907204
842079,-1.232723,-0.01269841,0.02344322
842315,-1.067644,-0.5264957,0.809768
842515,-1.122344,-1.50232,0.4346764
842716,-1.826618,-1.030525,0.8547009
842916,-1.340171,-0.3086691,0.2344322
843116,-1.419292,0.5391942,0.1006105
843335,-1.647863,-0.785348,0.9680098
843535,-0.8986569,-1.289377,0.6974359
843735,-1.98779,-0.9357753,0.7589744
843935,-1.496459,-0.1982906,0.5167277
844135,-1.531624,0.5880342,-0.4503053
844352,-1.317705,-0.8634921,0.8009768
844554,-0.8468864,-1.272772,1.206349
844754,-1.991697,-1.313797,0.3282051
844954,-1.451526,0.04297925,0.4493285
845154,-1.473993,0.2490843,-0.7257631
845373,-1.144811,-1.099878,1.180952
845575,-0.9934065,-1.438828,1.753358
845775,-1.89011,-0.8849817,-0.05274725
845976,-1.033455,0.05372405,0.4923077
846177,-1.99072,-0.8332112,0.7433455
846387,-1.202442,-1.382173,0.8166056
846588,-0.6837607,-1.058852,1.263004
846788,-1.399756,-0.4678876,0.1338217
846989,-1.252259,0.01367521,0.4229548
847190,-1.50525,-0.4913309,1.4779
847401,-1.188767,-1.201465,0.7833944
847601,-1.08718,-0.9045177,0.9015874
847801,-1.388034,-0.4151404,0.2500611
848002,-1.291331,0.5098901,0.4405373
848202,-1.323565,-0.765812,1.348962
848428,-0.8888889,-0.9142858,0.5772894
848629,-1.702564,-0.8683762,0.7228327
848829,-1.240537,-0.2813187,0.2959707
849029,-1.605861,0.6788767,-0.6612943
849229,-1.042247,-0.7326007,0.6339438
849452,-0.7931624,-1.010989,1.040293
849652,-1.991697,-1.260073,0.3477412
849853,-1.241514,0.03028083,0.4190476
850053,-1.681074,-0.8840048,-0.4034188
850253,-0.8908425,-0.8820513,0.8683762
850472,-1.243468,-1.11746,1.251282
850672,-1.500366,-0.9582417,0.1250305
850872,-1.205372,0.2236874,0.3496948
851072,-1.736752,-0.8918194,0.6632479
851272,-1.113553,-0.8166056,0.8244201
851488,-0.8625153,-1.107692,1.445665
851690,-1.317705,-0.5245421,0.07814408
851890,-1.252259,0.03516484,0.04200244
852091,-1.517949,-0.4844933,1.081319
852291,-1.100855,-0.9543346,0.7452991
852504,-1.102808,-0.7472528,0.7443223
852706,-1.263004,-0.4307693,0.1074481
852911,-1.172161,0.1758242,-0.2070818
853111,-1.033455,-0.603663,0.8800977
853311,-1.314774,-0.7277167,0.3311355
853511,-1.126252,-0.8048841,0.7892552
853712,-1.269841,-0.3741148,0.1162393
853912,-1.525763,0.8830281,-0.3672772
854112,-0.8976801,-0.6485959,0.574359
854313,-1.06862,-1.094017,0.3174603
854525,-1.588278,-1.125275,0.9533578
854727,-1.394872,-0.3858364,0.3565324
854927,-1.339194,0.628083,0.2803419
855127,-1.06862,-0.7247863,0.8634921
855327,-0.9465201,-1.365568,0.5460318
855539,-1.718193,-0.7687424,0.3067155
855739,-1.330403,-0.2236874,0.2549451
855940,-1.542369,0.5157509,-0.2373626
856140,-0.8957265,-0.5186813,0.6847375
856340,-0.6417583,-1.778755,0.770696
856556,-1.570696,-1.049084,0.4503053
856757,-1.122344,-0.2969475,0.235409
856957,-1.349939,0.3575092,-0.4630037
857157,-1.051038,-0.8547009,0.756044
857357,-0.554823,-0.8595848,0.7062271
857570,-1.527717,-1.125275,0.4112332
857770,-1.09304,-0.2715507,0.240293
857970,-1.159463,0.5284493,-0.3399267
858170,-0.9240538,-0.8175824,0.6788767
858370,-0.7267399,-1.280586,0.6222222
858590,-1.403663,-1.097924,0.2754579
858792,-1.246398,-0.3223443,0.3018315
858992,-1.422222,-0.1465201,-0.3135531
859192,-0.9484737,-0.6710623,0.2940171
859392,-0.8556777,-1.419292,0.9094017
859610,-1.702564,-1.008059,-0.1133089
859812,-1.130159,0.1269841,0.2969475
860013,-1.507204,-0.6456655,-0.006837607
860213,-0.967033,-0.6251526,0.5333333
860414,-1.14188,-1.99072,1.053968
860626,-1.181929,-0.5557998,0.3516484
860826,-1.084249,-0.1152625,0.4200244
861027,-0.9465201,-0.6476191,0.9006105
861227,-0.9992674,-1.100855,0.6954823
861427,-0.5147741,-1.814896,1.242491
861642,-1.001221,-0.3838828,0.2471306
861842,-1.26105,-0.2285714,0.2559219
862042,-0.5860806,-0.5313797,0.8410255
