Ticks,Latitude,Longitude,Satellites
821972,41.15304,-73.42704,3
822992,41.15302,-73.42705,3
824006,41.15302,-73.42705,3
825027,41.15302,-73.42705,3
826041,41.15302,-73.42705,3
827050,41.15302,-73.42705,3
828059,41.15302,-73.42705,3
829069,41.15295,-73.42709,3
830082,41.15293,-73.42709,3
831103,41.15293,-73.42709,3
832117,41.15293,-73.42709,3
833134,41.15293,-73.42709,3
834150,41.15293,-73.42709,3
835164,41.15293,-73.42709,3
836179,41.15288,-73.42709,3
837201,41.15287,-73.4271,3
838225,41.15287,-73.4271,3
839244,41.15287,-73.4271,3
840262,41.15287,-73.4271,3
841277,41.15283,-73.4271,3
842315,41.15283,-73.4271,3
843335,41.15283,-73.4271,3
844351,41.15283,-73.4271,3
845372,41.15283,-73.4271,3
846386,41.15283,-73.4271,3
847401,41.15277,-73.42712,3
848427,41.15276,-73.42714,3
849452,41.15276,-73.42714,3
850472,41.15276,-73.42714,3
851487,41.15276,-73.42714,3
852503,41.15276,-73.42714,3
853510,41.15276,-73.42714,3
854524,41.15276,-73.42714,3
855539,41.15276,-73.42714,3
856555,41.1526,-73.4272,3
857570,41.1526,-73.4272,3
858589,41.1526,-73.4272,3
859609,41.1526,-73.4272,3
860625,41.1526,-73.4272,3
861641,41.15248,-73.42721,3
862660,41.15247,-73.42721,3
863678,41.15247,-73.42721,3
864688,41.15247,-73.42721,3
865699,41.15247,-73.42721,3
866707,41.15247,-73.42721,3
867720,41.15247,-73.42721,3
868748,41.15233,-73.4273,3
869758,41.15232,-73.42733,3
870771,41.15232,-73.42733,3
871783,41.15232,-73.42733,3
872793,41.15232,-73.42733,3
873804,41.15232,-73.42733,3
874815,41.15232,-73.42733,3
875826,41.15232,-73.42733,3
876845,41.15232,-73.42733,3
877859,41.15232,-73.42733,3
878878,41.15215,-73.42751,3
879890,41.15213,-73.42752,3
880896,41.15211,-73.42753,3
881917,41.15211,-73.42753,3
882927,41.15211,-73.42753,3
883942,41.15211,-73.42753,3
884944,41.15205,-73.42761,3
885960,41.15205,-73.42761,3
886970,41.152,-73.42762,3
887993,41.152,-73.42763,3
889009,41.152,-73.42763,3
890018,41.152,-73.42763,3
891028,41.152,-73.42763,3
892041,41.152,-73.42763,3
893052,41.152,-73.42763,3
894059,41.152,-73.42763,3
895070,41.15194,-73.42768,3
896099,41.15194,-73.42768,3
897112,41.15194,-73.42768,3
898132,41.15194,-73.42768,3
899145,41.15194,-73.42768,3
900158,41.15194,-73.42768,3
901175,41.15194,-73.42768,3
902193,41.1519,-73.4277,3
903217,41.1519,-73.4277,3
904233,41.1519,-73.4277,3
905248,41.1519,-73.4277,3
906262,41.1519,-73.4277,3
907269,41.1519,-73.4277,3
908279,41.15186,-73.4277,3
909311,41.15186,-73.4277,3
910327,41.15184,-73.42771,3
911348,41.15184,-73.42771,3
912366,41.15184,-73.42771,3
913390,41.15184,-73.42771,3
914405,41.15184,-73.42771,3
915429,41.1518,-73.42771,3
916451,41.15179,-73.42773,3
917477,41.15179,-73.42773,3
918491,41.15176,-73.42773,3
919518,41.15176,-73.42773,3
920547,41.15173,-73.42773,3
921566,41.15173,-73.42773,3
922584,41.15173,-73.42773,3
923600,41.15173,-73.42773,3
924617,41.15173,-73.42773,3
925639,41.15165,-73.42774,3
926658,41.15163,-73.42774,3
927676,41.15163,-73.42774,3
928687,41.15163,-73.42774,3
929702,41.15163,-73.42774,3
930724,41.15163,-73.42774,3
931738,41.15155,-73.42775,3
932754,41.15153,-73.42775,3
933778,41.15153,-73.42775,3
934791,41.15153,-73.42775,3
935799,41.15153,-73.42775,3
936808,41.15153,-73.42775,3
937819,41.15153,-73.42775,3
938835,41.15153,-73.42775,3
939847,41.15153,-73.42775,3
940857,41.15153,-73.42775,3
941866,41.15153,-73.42775,3
942876,41.15153,-73.42775,3
943888,41.15152,-73.42773,4
944899,41.1515,-73.42771,4
945912,41.1515,-73.42771,4
946929,41.1515,-73.42771,4
947948,41.1515,-73.42771,4
948957,41.1515,-73.42771,4
949964,41.1515,-73.42771,4
950972,41.1515,-73.42771,4
951982,41.15133,-73.42759,4
952997,41.15131,-73.42759,4
954014,41.15129,-73.42758,4
955026,41.15129,-73.42758,4
956039,41.15129,-73.42758,4
957050,41.15129,-73.42758,4
958059,41.15129,-73.42758,4
959067,41.15121,-73.42753,4
960094,41.15119,-73.42752,4
961113,41.15119,-73.42752,4
962129,41.15119,-73.42752,4
963149,41.15119,-73.42752,4
964161,41.15119,-73.42752,4
965171,41.15119,-73.42752,4
966190,41.15115,-73.42751,4
